"BRAND_NAME","MEDIA_TYPE_NAME","Sum","Date"
"HUMIRA","Email Blast",NA,2018-12-01
"HUMIRA","Email Blast",NA,2019-01-01
"HUMIRA","Email Blast",NA,2019-02-01
"HUMIRA","Email Blast",NA,2019-03-01
"HUMIRA","Email Blast",NA,2019-04-01
"HUMIRA","Email Blast",NA,2019-05-01
"HUMIRA","Email Blast",NA,2019-06-01
"HUMIRA","Email Blast",NA,2019-07-01
"ELAGOLIX","eNewsletter",740,2018-09-01
"ELAGOLIX","eNewsletter",1892,2018-10-01
"ELAGOLIX","eNewsletter",2624,2018-11-01
"ELAGOLIX","eNewsletter",4034,2018-12-01
"ELAGOLIX","eNewsletter",4062,2019-01-01
"ELAGOLIX","eNewsletter",4062,2019-02-01
"ELAGOLIX","eNewsletter",4062,2019-03-01
"ELAGOLIX","eNewsletter",4062,2019-04-01
"ELAGOLIX","eNewsletter",8124,2019-05-01
"ELAGOLIX","eNewsletter",4062,2019-06-01
"ELAGOLIX","eNewsletter",4062,2019-07-01
"HUMIRA","eNewsletter",2918227.5714303,2018-09-01
"HUMIRA","eNewsletter",2974859.5714303,2018-10-01
"HUMIRA","eNewsletter",3028401.5714303,2018-11-01
"HUMIRA","eNewsletter",3092205.5714303,2018-12-01
"HUMIRA","eNewsletter",3095001.5714303,2019-01-01
"HUMIRA","eNewsletter",3095001.0000017,2019-02-01
"HUMIRA","eNewsletter",3080961.5714303,2019-03-01
"HUMIRA","eNewsletter",3050921.5714324,2019-04-01
"HUMIRA","eNewsletter",6017915.7142874,2019-05-01
"HUMIRA","eNewsletter",2988901.8571419,2019-06-01
"HUMIRA","eNewsletter",2892008.142858,2019-07-01
"LUPRON DEPOT","eNewsletter",NA,2018-09-01
"LUPRON DEPOT","eNewsletter",NA,2018-10-01
"LUPRON DEPOT","eNewsletter",NA,2018-11-01
"LUPRON DEPOT","eNewsletter",NA,2018-12-01
"LUPRON DEPOT","eNewsletter",NA,2019-01-01
"LUPRON DEPOT","eNewsletter",NA,2019-02-01
"LUPRON DEPOT","eNewsletter",NA,2019-03-01
"LUPRON DEPOT","eNewsletter",NA,2019-04-01
"LUPRON DEPOT","eNewsletter",NA,2019-05-01
"LUPRON DEPOT","eNewsletter",NA,2019-06-01
"LUPRON DEPOT","eNewsletter",NA,2019-07-01
"MAVYRET","eNewsletter",NA,2018-09-01
"MAVYRET","eNewsletter",NA,2018-10-01
"MAVYRET","eNewsletter",NA,2018-11-01
"MAVYRET","eNewsletter",NA,2018-12-01
"MAVYRET","eNewsletter",NA,2019-01-01
"MAVYRET","eNewsletter",NA,2019-02-01
"MAVYRET","eNewsletter",NA,2019-03-01
"MAVYRET","eNewsletter",NA,2019-04-01
"MAVYRET","eNewsletter",NA,2019-05-01
"MAVYRET","eNewsletter",NA,2019-06-01
"MAVYRET","eNewsletter",NA,2019-07-01
"HUMIRA","Expandable Units",69279984.7142835,2018-09-01
"HUMIRA","Expandable Units",81814876.7142835,2018-10-01
"HUMIRA","Expandable Units",93159340.7142835,2018-11-01
"HUMIRA","Expandable Units",107457124.714283,2018-12-01
"HUMIRA","Expandable Units",107477086.714283,2019-01-01
"HUMIRA","Expandable Units",107477086.714283,2019-02-01
"HUMIRA","Expandable Units",107477086.714283,2019-03-01
"HUMIRA","Expandable Units",107477086.714283,2019-04-01
"HUMIRA","Expandable Units",214954173.428567,2019-05-01
"HUMIRA","Expandable Units",107477086.714283,2019-06-01
"HUMIRA","Expandable Units",107477086.714283,2019-07-01
"CREON","FEP",28263366,2018-09-01
"CREON","FEP",30791716,2018-10-01
"CREON","FEP",49269060,2018-11-01
"CREON","FEP",70865820,2018-12-01
"CREON","FEP",70966164,2019-01-01
"CREON","FEP",70966164,2019-02-01
"CREON","FEP",70966164,2019-03-01
"CREON","FEP",70966164,2019-04-01
"CREON","FEP",141932328,2019-05-01
"CREON","FEP",70966164,2019-06-01
"CREON","FEP",70966164,2019-07-01
"ELAGOLIX","FEP",180156,2018-10-01
"ELAGOLIX","FEP",336918,2018-11-01
"ELAGOLIX","FEP",493218,2018-12-01
"ELAGOLIX","FEP",493218,2019-01-01
"ELAGOLIX","FEP",493218,2019-02-01
"ELAGOLIX","FEP",493218,2019-03-01
"ELAGOLIX","FEP",493218,2019-04-01
"ELAGOLIX","FEP",986436,2019-05-01
"ELAGOLIX","FEP",493218,2019-06-01
"ELAGOLIX","FEP",493218,2019-07-01
"HUMIRA","FEP",603449605.142858,2018-09-01
"HUMIRA","FEP",660602851.142858,2018-10-01
"HUMIRA","FEP",714290761.142858,2018-11-01
"HUMIRA","FEP",782473151.142858,2018-12-01
"HUMIRA","FEP",783077853.142858,2019-01-01
"HUMIRA","FEP",783077853.142858,2019-02-01
"HUMIRA","FEP",783077853.142858,2019-03-01
"HUMIRA","FEP",783077853.142858,2019-04-01
"HUMIRA","FEP",1566155706.28572,2019-05-01
"HUMIRA","FEP",783077853.142858,2019-06-01
"HUMIRA","FEP",783077853.142858,2019-07-01
"ELAGOLIX","FEP Connected TV",148460,2018-10-01
"ELAGOLIX","FEP Connected TV",326724,2018-11-01
"ELAGOLIX","FEP Connected TV",480346,2018-12-01
"ELAGOLIX","FEP Connected TV",480346,2019-01-01
"ELAGOLIX","FEP Connected TV",480346,2019-02-01
"ELAGOLIX","FEP Connected TV",480346,2019-03-01
"ELAGOLIX","FEP Connected TV",480346,2019-04-01
"ELAGOLIX","FEP Connected TV",960692,2019-05-01
"ELAGOLIX","FEP Connected TV",480346,2019-06-01
"ELAGOLIX","FEP Connected TV",480346,2019-07-01
"HUMIRA","FEP Connected TV",7071062.1428579,2018-09-01
"HUMIRA","FEP Connected TV",8058746.1428579,2018-10-01
"HUMIRA","FEP Connected TV",11318652.1428579,2018-11-01
"HUMIRA","FEP Connected TV",15414434.1428579,2018-12-01
"HUMIRA","FEP Connected TV",15454156.1428579,2019-01-01
"HUMIRA","FEP Connected TV",15454156.1428579,2019-02-01
"HUMIRA","FEP Connected TV",15454156.1428579,2019-03-01
"HUMIRA","FEP Connected TV",15454156.1428579,2019-04-01
"HUMIRA","FEP Connected TV",30908312.2857158,2019-05-01
"HUMIRA","FEP Connected TV",15454156.1428579,2019-06-01
"HUMIRA","FEP Connected TV",15454156.1428579,2019-07-01
"HUMIRA","HPTO",25651830,2018-09-01
"HUMIRA","HPTO",25651830,2018-10-01
"HUMIRA","HPTO",25651830,2018-11-01
"HUMIRA","HPTO",25651830,2018-12-01
"HUMIRA","HPTO",25651830,2019-01-01
"HUMIRA","HPTO",25651830,2019-02-01
"HUMIRA","HPTO",25651830,2019-03-01
"HUMIRA","HPTO",25651830,2019-04-01
"HUMIRA","HPTO",51303660,2019-05-01
"HUMIRA","HPTO",25651830,2019-06-01
"HUMIRA","HPTO",25651830,2019-07-01
"HUMIRA","Native",764620807.285715,2018-09-01
"HUMIRA","Native",791388155.285715,2018-10-01
"HUMIRA","Native",815419769.285715,2018-11-01
"HUMIRA","Native",842624847.285715,2018-12-01
"HUMIRA","Native",842985421.285715,2019-01-01
"HUMIRA","Native",842985421.285715,2019-02-01
"HUMIRA","Native",842985421.285715,2019-03-01
"HUMIRA","Native",842985421.285715,2019-04-01
"HUMIRA","Native",1685970842.57143,2019-05-01
"HUMIRA","Native",815733496.428571,2019-06-01
"HUMIRA","Native",779052603.857143,2019-07-01
"MAVYRET","Native",94390352,2018-09-01
"MAVYRET","Native",133238042,2018-10-01
"MAVYRET","Native",160757410,2018-11-01
"MAVYRET","Native",630205556,2018-12-01
"MAVYRET","Native",649296404,2019-01-01
"MAVYRET","Native",649296404,2019-02-01
"MAVYRET","Native",649296404,2019-03-01
"MAVYRET","Native",649296404,2019-04-01
"MAVYRET","Native",1298592808,2019-05-01
"MAVYRET","Native",649296404,2019-06-01
"MAVYRET","Native",649296404,2019-07-01
"HUMIRA","Native Text Ads",548059769.57143,2018-09-01
"HUMIRA","Native Text Ads",575882813.57143,2018-10-01
"HUMIRA","Native Text Ads",598047225.57143,2018-11-01
"HUMIRA","Native Text Ads",631729791.57143,2018-12-01
"HUMIRA","Native Text Ads",632472963.57143,2019-01-01
"HUMIRA","Native Text Ads",632472963.57143,2019-02-01
"HUMIRA","Native Text Ads",632472963.57143,2019-03-01
"HUMIRA","Native Text Ads",632472963.57143,2019-04-01
"HUMIRA","Native Text Ads",1264945927.14286,2019-05-01
"HUMIRA","Native Text Ads",632472963.57143,2019-06-01
"HUMIRA","Native Text Ads",632472963.57143,2019-07-01
"CREON","Native Video",8856842,2018-09-01
"CREON","Native Video",10088198,2018-10-01
"CREON","Native Video",11359984,2018-11-01
"CREON","Native Video",12863174,2018-12-01
"CREON","Native Video",12906180,2019-01-01
"CREON","Native Video",12906180,2019-02-01
"CREON","Native Video",12906180,2019-03-01
"CREON","Native Video",12906180,2019-04-01
"CREON","Native Video",25812360,2019-05-01
"CREON","Native Video",12906180,2019-06-01
"CREON","Native Video",12906180,2019-07-01
"HUMIRA","Native Video",46509065.5714285,2018-09-01
"HUMIRA","Native Video",49848323.5714285,2018-10-01
"HUMIRA","Native Video",53057951.5714285,2018-11-01
"HUMIRA","Native Video",57062691.5714285,2018-12-01
"HUMIRA","Native Video",57064977.5714285,2019-01-01
"HUMIRA","Native Video",57064977.5714285,2019-02-01
"HUMIRA","Native Video",57064977.5714285,2019-03-01
"HUMIRA","Native Video",57064977.5714285,2019-04-01
"HUMIRA","Native Video",114129955.142857,2019-05-01
"HUMIRA","Native Video",57064977.5714285,2019-06-01
"HUMIRA","Native Video",57064977.5714285,2019-07-01
"CREON","Non-Skippable Pre-Roll Video",NA,2018-09-01
"CREON","Non-Skippable Pre-Roll Video",NA,2018-10-01
"CREON","Non-Skippable Pre-Roll Video",NA,2018-11-01
"CREON","Non-Skippable Pre-Roll Video",NA,2018-12-01
"CREON","Non-Skippable Pre-Roll Video",NA,2019-01-01
"CREON","Non-Skippable Pre-Roll Video",NA,2019-02-01
"CREON","Non-Skippable Pre-Roll Video",NA,2019-03-01
"CREON","Non-Skippable Pre-Roll Video",NA,2019-04-01
"CREON","Non-Skippable Pre-Roll Video",NA,2019-05-01
"CREON","Non-Skippable Pre-Roll Video",NA,2019-06-01
"CREON","Non-Skippable Pre-Roll Video",NA,2019-07-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",41215094.5714292,2018-09-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",44532396.5714292,2018-10-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",48000188.5714292,2018-11-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",52198600.5714292,2018-12-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",52237190.5714292,2019-01-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",52237190.5714292,2019-02-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",52237190.5714292,2019-03-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",52237190.5714292,2019-04-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",104474381.142858,2019-05-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",52237190.5714292,2019-06-01
"ELAGOLIX","Non-Skippable Pre-Roll Video",52237190.5714292,2019-07-01
"HUMIRA","Non-Skippable Pre-Roll Video",788916663.857145,2018-09-01
"HUMIRA","Non-Skippable Pre-Roll Video",844062239.857145,2018-10-01
"HUMIRA","Non-Skippable Pre-Roll Video",911810673.857145,2018-11-01
"HUMIRA","Non-Skippable Pre-Roll Video",991741339.857145,2018-12-01
"HUMIRA","Non-Skippable Pre-Roll Video",992766117.857145,2019-01-01
"HUMIRA","Non-Skippable Pre-Roll Video",992766117.857145,2019-02-01
"HUMIRA","Non-Skippable Pre-Roll Video",992766117.857145,2019-03-01
"HUMIRA","Non-Skippable Pre-Roll Video",992766117.857145,2019-04-01
"HUMIRA","Non-Skippable Pre-Roll Video",1985532235.71429,2019-05-01
"HUMIRA","Non-Skippable Pre-Roll Video",992766117.857145,2019-06-01
"HUMIRA","Non-Skippable Pre-Roll Video",992766117.857145,2019-07-01
"CREON","Partner Content Hub",16183397.8571422,2018-09-01
"CREON","Partner Content Hub",17479421.8571422,2018-10-01
"CREON","Partner Content Hub",25281871.8571422,2018-11-01
"CREON","Partner Content Hub",35482705.8571422,2018-12-01
"CREON","Partner Content Hub",35733963.8571422,2019-01-01
"CREON","Partner Content Hub",35733953.5714278,2019-02-01
"CREON","Partner Content Hub",35601425.8571422,2019-03-01
"CREON","Partner Content Hub",35362368.7142861,2019-04-01
"CREON","Partner Content Hub",70282678.5714308,2019-05-01
"CREON","Partner Content Hub",34634603.5714279,2019-06-01
"CREON","Partner Content Hub",34293545.2857141,2019-07-01
"ELAGOLIX","Partner Content Hub",2767249.8571434,2018-09-01
"ELAGOLIX","Partner Content Hub",3034095.8571434,2018-10-01
"ELAGOLIX","Partner Content Hub",3427753.8571434,2018-11-01
"ELAGOLIX","Partner Content Hub",4367477.8571434,2018-12-01
"ELAGOLIX","Partner Content Hub",4378169.8571434,2019-01-01
"ELAGOLIX","Partner Content Hub",4378169.8571434,2019-02-01
"ELAGOLIX","Partner Content Hub",4378169.8571434,2019-03-01
"ELAGOLIX","Partner Content Hub",4378169.8571434,2019-04-01
"ELAGOLIX","Partner Content Hub",8756339.7142868,2019-05-01
"ELAGOLIX","Partner Content Hub",4378169.8571434,2019-06-01
"ELAGOLIX","Partner Content Hub",4378169.8571434,2019-07-01
"HUMIRA","Partner Content Hub",392899919.99999,2018-09-01
"HUMIRA","Partner Content Hub",414420467.99999,2018-10-01
"HUMIRA","Partner Content Hub",433369777.99999,2018-11-01
"HUMIRA","Partner Content Hub",457426213.99999,2018-12-01
"HUMIRA","Partner Content Hub",457917127.99999,2019-01-01
"HUMIRA","Partner Content Hub",457913881.714275,2019-02-01
"HUMIRA","Partner Content Hub",446861719.99999,2019-03-01
"HUMIRA","Partner Content Hub",436593885.428562,2019-04-01
"HUMIRA","Partner Content Hub",854855277.142861,2019-05-01
"HUMIRA","Partner Content Hub",417268291.142848,2019-06-01
"HUMIRA","Partner Content Hub",403314401.999983,2019-07-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2018-09-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2018-10-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2018-11-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2018-12-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2019-01-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2019-02-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2019-03-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2019-04-01
"LUPRON DEPOT","Partner Content Hub",3292193.4285718,2019-05-01
"LUPRON DEPOT","Partner Content Hub",1646096.7142859,2019-06-01
"LUPRON DEPOT","Partner Content Hub",1645627,2019-07-01
"MAVYRET","Partner Content Hub",11973176,2018-09-01
"MAVYRET","Partner Content Hub",17844490,2018-10-01
"MAVYRET","Partner Content Hub",19354934,2018-11-01
"MAVYRET","Partner Content Hub",33414774,2018-12-01
"MAVYRET","Partner Content Hub",33450236,2019-01-01
"MAVYRET","Partner Content Hub",33450236,2019-02-01
"MAVYRET","Partner Content Hub",33450236,2019-03-01
"MAVYRET","Partner Content Hub",33450236,2019-04-01
